t(ticks) ; id_viat ; destin ; t_estacion ;  t_vida  ; observ
2721410  ; 7407    ; N      ; 40         ; ?        ; entrou
2722323  ; 7407    ; N      ; 40         ; 247978   ; saiu
2775119  ; 7403    ; O      ; 10         ; ?        ; entrou
2776353  ; 7403    ; O      ; 10         ; 306111   ; saiu
2780525  ; 7439    ; N      ; 100        ; ?        ; entrou
2781300  ; 7439    ; N      ; 100        ; 276372   ; saiu
2783477  ; 7468    ; S      ; 40         ; ?        ; entrou
2783961  ; 7468    ; S      ; 40         ; 256411   ; saiu
2805220  ; 7420    ; E      ; 60         ; ?        ; entrou
2805499  ; 7420    ; E      ; 60         ; 319303   ; saiu
2823590  ; 7425    ; O      ; 90         ; ?        ; entrou
2824079  ; 7425    ; O      ; 90         ; 333915   ; saiu
2868722  ; 7464    ; E      ; 40         ; ?        ; entrou
2869448  ; 7464    ; E      ; 40         ; 344483   ; saiu
2871655  ; 6979    ; E      ; 60         ; ?        ; entrou
2872335  ; 6979    ; E      ; 60         ; 797496   ; saiu
2879113  ; 7386    ; S      ; 90         ; ?        ; entrou
2879885  ; 7386    ; S      ; 90         ; 425393   ; saiu
2881497  ; 7387    ; S      ; 90         ; ?        ; cheio
2882290  ; 7402    ; S      ; 60         ; ?        ; entrou
2882794  ; 7402    ; S      ; 60         ; 413122   ; saiu
2885886  ; 7419    ; S      ; 100        ; ?        ; entrou
2886185  ; 7419    ; S      ; 100        ; 401215   ; saiu
2888251  ; 7342    ; N      ; 10         ; ?        ; entrou
2888990  ; 7342    ; N      ; 10         ; 475226   ; saiu
2902058  ; 7398    ; N      ; 70         ; ?        ; entrou
2902983  ; 7406    ; N      ; 40         ; ?        ; cheio
2903793  ; 7398    ; N      ; 70         ; 437921   ; saiu
2906009  ; 7418    ; N      ; 100        ; ?        ; entrou
2906682  ; 7418    ; N      ; 100        ; 423523   ; saiu
2934348  ; 7364    ; O      ; 100        ; ?        ; entrou
2934898  ; 7364    ; O      ; 100        ; 501922   ; saiu
2941826  ; 7404    ; O      ; 30         ; ?        ; entrou
2942635  ; 7404    ; O      ; 30         ; 470619   ; saiu
2952262  ; 7389    ; E      ; 90         ; ?        ; entrou
2953049  ; 7389    ; E      ; 90         ; 496955   ; saiu
