t(ticks) ; nlug ; id_viat ; observ
3829854  ; 1    ; 7407    ; entrou
3830266  ; 0    ; 7407    ; saiu
3862358  ; 1    ; 7403    ; entrou
3863647  ; 0    ; 7403    ; saiu
3865168  ; 1    ; 7439    ; entrou
3865310  ; 0    ; 7439    ; saiu
3866150  ; 1    ; 7468    ; entrou
3866205  ; 0    ; 7468    ; saiu
3874433  ; 1    ; 7420    ; entrou
3874518  ; 0    ; 7420    ; saiu
3887197  ; 1    ; 7425    ; entrou
3887420  ; 0    ; 7425    ; saiu
3914690  ; 1    ; 7464    ; entrou
3915161  ; 0    ; 7464    ; saiu
3916588  ; 1    ; 6979    ; entrou
3916942  ; 0    ; 6979    ; saiu
3921399  ; 1    ; 7386    ; entrou
3921511  ; 1    ; 7387    ; cheio
3921719  ; 0    ; 7386    ; saiu
3923717  ; 1    ; 7402    ; entrou
3924066  ; 0    ; 7402    ; saiu
3926216  ; 1    ; 7419    ; entrou
3926765  ; 0    ; 7419    ; saiu
3929256  ; 1    ; 7342    ; entrou
3929441  ; 0    ; 7342    ; saiu
3940165  ; 1    ; 7398    ; entrou
3940915  ; 1    ; 7406    ; cheio
3941317  ; 0    ; 7398    ; saiu
3943233  ; 1    ; 7418    ; entrou
3943372  ; 0    ; 7418    ; saiu
3968704  ; 1    ; 7364    ; entrou
3969019  ; 0    ; 7364    ; saiu
3973594  ; 1    ; 7404    ; entrou
3973949  ; 0    ; 7404    ; saiu
3980076  ; 1    ; 7389    ; entrou
3980360  ; 0    ; 7389    ; saiu
3984748  ; 1    ; 7428    ; entrou
3985118  ; 0    ; 7428    ; saiu
3986031  ; 1    ; 7465    ; entrou
3987653  ; 0    ; 7465    ; saiu
4041168  ; 1    ; 8229    ; entrou
4041718  ; 0    ; 8229    ; saiu
4095035  ; 1    ; 8392    ; entrou
4095479  ; 0    ; 8392    ; saiu
4097229  ; 1    ; 8417    ; entrou
4097939  ; 0    ; 8417    ; saiu
4225928  ; 1    ; 8667    ; entrou
4226897  ; 0    ; 8667    ; saiu
4231363  ; 1    ; 8673    ; entrou
4232694  ; 1    ; 8675    ; entrou
4233033  ; 1    ; 8673    ; saiu
4233643  ; 0    ; 8675    ; saiu
5339063  ; 1    ; 10490   ; entrou
5340027  ; 0    ; 10490   ; saiu
5368233  ; 1    ; 10519   ; entrou
5369166  ; 0    ; 10519   ; saiu
6045428  ; 1    ; 11665   ; entrou
6047788  ; 0    ; 11665   ; saiu
6415442  ; 1    ; 11996   ; entrou
6415709  ; 1    ; 11997   ; cheio
6416080  ; 0    ; 11996   ; saiu
6416213  ; 1    ; 11998   ; entrou
6416302  ; 1    ; 11991   ; cheio
6416641  ; 0    ; 11998   ; saiu
6417078  ; 1    ; 11994   ; entrou
6417082  ; 1    ; 11999   ; cheio
6417440  ; 0    ; 11994   ; saiu
6418450  ; 1    ; 11993   ; entrou
6420126  ; 0    ; 11993   ; saiu
6429867  ; 1    ; 11971   ; entrou
6430089  ; 1    ; 12000   ; cheio
6431118  ; 0    ; 11971   ; saiu
6437108  ; 1    ; 12001   ; entrou
6439318  ; 0    ; 12001   ; saiu
6443641  ; 1    ; 12003   ; entrou
6443960  ; 1    ; 12002   ; entrou
6445333  ; 1    ; 12003   ; saiu
6447976  ; 1    ; 12005   ; cheio
6449389  ; 0    ; 12002   ; saiu
6453825  ; 1    ; 12013   ; entrou
6454108  ; 1    ; 12006   ; cheio
6454670  ; 0    ; 12013   ; saiu
6455286  ; 1    ; 12012   ; entrou
6455345  ; 1    ; 12008   ; cheio
6455666  ; 0    ; 12012   ; saiu
6457449  ; 1    ; 11992   ; entrou
6457532  ; 1    ; 12016   ; cheio
6457742  ; 0    ; 11992   ; saiu
6457831  ; 1    ; 11977   ; entrou
6458034  ; 1    ; 11970   ; entrou
6458049  ; 1    ; 11977   ; saiu
6458034  ; 1    ; 11979   ; cheio
6458418  ; 0    ; 11970   ; saiu
6458502  ; 1    ; 11985   ; entrou
6458726  ; 0    ; 11985   ; saiu
6458651  ; 1    ; 11968   ; entrou
6459155  ; 1    ; 11987   ; cheio
6459537  ; 1    ; 12009   ; cheio
6460990  ; 0    ; 11968   ; saiu
6462557  ; 1    ; 12019   ; entrou
6462657  ; 0    ; 12019   ; saiu
6465040  ; 1    ; 11981   ; entrou
6465315  ; 1    ; 11988   ; cheio
6466066  ; 1    ; 12022   ; cheio
6466429  ; 1    ; 11981   ; saiu
6466514  ; 1    ; 11982   ; entrou
6470284  ; 0    ; 11982   ; saiu
6470292  ; 1    ; 12023   ; entrou
6471133  ; 0    ; 12023   ; saiu
6472076  ; 1    ; 12026   ; entrou
6472626  ; 1    ; 12025   ; entrou
6472470  ; 1    ; 12026   ; saiu
6474468  ; 0    ; 12025   ; saiu
6476499  ; 1    ; 12031   ; entrou
6477098  ; 0    ; 12031   ; saiu
6478480  ; 1    ; 12033   ; entrou
6479242  ; 0    ; 12033   ; saiu
6479983  ; 1    ; 12034   ; entrou
6481747  ; 0    ; 12034   ; saiu
6482931  ; 1    ; 12037   ; entrou
6483485  ; 0    ; 12037   ; saiu
6550477  ; 1    ; 12086   ; entrou
6551878  ; 0    ; 12086   ; saiu
6559977  ; 1    ; 12088   ; entrou
6562630  ; 0    ; 12088   ; saiu
6566491  ; 1    ; 12092   ; entrou
6567011  ; 1    ; 12097   ; entrou
6567169  ; 1    ; 12092   ; saiu
6567798  ; 1    ; 12096   ; cheio
6567887  ; 1    ; 12104   ; cheio
6570799  ; 1    ; 12095   ; cheio
6572050  ; 0    ; 12097   ; saiu
6574441  ; 1    ; 12113   ; entrou
6575143  ; 0    ; 12113   ; saiu
6580647  ; 1    ; 12108   ; entrou
6580921  ; 1    ; 12118   ; cheio
6581448  ; 0    ; 12108   ; saiu
6582280  ; 1    ; 12114   ; entrou
6582894  ; 1    ; 12111   ; cheio
6585194  ; 1    ; 12120   ; cheio
6587398  ; 0    ; 12114   ; saiu
6589799  ; 1    ; 12124   ; entrou
6589741  ; 1    ; 12127   ; cheio
6590192  ; 1    ; 12129   ; cheio
6591850  ; 0    ; 12124   ; saiu
6592869  ; 1    ; 12112   ; entrou
6594272  ; 1    ; 12137   ; entrou
6594186  ; 1    ; 12131   ; cheio
6594277  ; 1    ; 12109   ; cheio
6594236  ; 1    ; 12112   ; saiu
6594905  ; 0    ; 12137   ; saiu
6595085  ; 1    ; 12116   ; entrou
6595116  ; 1    ; 12126   ; cheio
6595231  ; 0    ; 12116   ; saiu
6596650  ; 1    ; 12151   ; entrou
6596577  ; 1    ; 12139   ; cheio
6596974  ; 0    ; 12151   ; saiu
6597278  ; 1    ; 12146   ; entrou
6597458  ; 1    ; 12141   ; cheio
6597489  ; 1    ; 12142   ; cheio
6597526  ; 1    ; 12143   ; cheio
6597623  ; 0    ; 12146   ; saiu
6597542  ; 1    ; 12149   ; entrou
6597761  ; 0    ; 12149   ; saiu
6598197  ; 1    ; 12157   ; entrou
6598415  ; 1    ; 12175   ; cheio
6598939  ; 0    ; 12157   ; saiu
6599302  ; 1    ; 12172   ; entrou
6599288  ; 1    ; 12166   ; cheio
6599992  ; 1    ; 12174   ; entrou
6600182  ; 1    ; 12172   ; saiu
6600388  ; 0    ; 12174   ; saiu
6601337  ; 1    ; 12170   ; entrou
6601606  ; 1    ; 12171   ; cheio
6602026  ; 0    ; 12170   ; saiu
6601746  ; 1    ; 12177   ; entrou
6602381  ; 1    ; 12196   ; cheio
6602928  ; 0    ; 12177   ; saiu
6606393  ; 1    ; 12198   ; entrou
6607052  ; 0    ; 12198   ; saiu
6607088  ; 1    ; 12164   ; entrou
6607665  ; 0    ; 12164   ; saiu
6607392  ; 1    ; 12169   ; entrou
6607811  ; 1    ; 12203   ; cheio
6608169  ; 0    ; 12169   ; saiu
6607840  ; 1    ; 12173   ; entrou
6606502  ; 1    ; 12154   ; cheio
6609609  ; 1    ; 12206   ; cheio
6610864  ; 0    ; 12173   ; saiu
6615405  ; 1    ; 12207   ; entrou
6615861  ; 0    ; 12207   ; saiu
6615838  ; 1    ; 12205   ; entrou
6616839  ; 1    ; 12212   ; cheio
6618016  ; 1    ; 12214   ; cheio
6618864  ; 1    ; 12210   ; cheio
6619276  ; 0    ; 12205   ; saiu
6631922  ; 1    ; 12218   ; entrou
6632361  ; 0    ; 12218   ; saiu
6634190  ; 1    ; 12228   ; entrou
6634486  ; 1    ; 12222   ; cheio
6634809  ; 1    ; 12216   ; cheio
6635103  ; 1    ; 12215   ; cheio
6637396  ; 0    ; 12228   ; saiu
6637454  ; 1    ; 12220   ; entrou
6638181  ; 0    ; 12220   ; saiu
6639345  ; 1    ; 12224   ; entrou
6639703  ; 0    ; 12224   ; saiu
6641079  ; 1    ; 12237   ; entrou
6641078  ; 1    ; 12230   ; cheio
6641309  ; 0    ; 12237   ; saiu
6642513  ; 1    ; 12233   ; entrou
6642818  ; 1    ; 12232   ; cheio
6643293  ; 0    ; 12233   ; saiu
6645708  ; 1    ; 12246   ; entrou
6642531  ; 1    ; 12234   ; cheio
6646043  ; 1    ; 12249   ; cheio
6648159  ; 1    ; 12235   ; cheio
6649658  ; 0    ; 12246   ; saiu
6649969  ; 1    ; 12236   ; entrou
6650915  ; 1    ; 12252   ; cheio
6650905  ; 1    ; 12251   ; cheio
6652296  ; 1    ; 12250   ; cheio
6652604  ; 1    ; 12256   ; cheio
6652661  ; 0    ; 12236   ; saiu
6659136  ; 1    ; 12262   ; entrou
6659305  ; 1    ; 12259   ; cheio
6660079  ; 0    ; 12262   ; saiu
6663349  ; 1    ; 12263   ; entrou
6663386  ; 1    ; 12257   ; cheio
6663653  ; 1    ; 12260   ; cheio
6663995  ; 0    ; 12263   ; saiu
6664077  ; 1    ; 12265   ; entrou
6665262  ; 0    ; 12265   ; saiu
6665321  ; 1    ; 12267   ; entrou
6665913  ; 0    ; 12267   ; saiu
